event,value,timestamp
InterBeatInterval,1147,2024-06-15T23:21:18.548875
InterBeatInterval,1209,2024-06-15T23:21:18.581814
InterBeatInterval,1154,2024-06-15T23:21:20.953306
MeanHrv,191.5,2024-06-15T23:21:21.056034
InterBeatInterval,1160,2024-06-15T23:21:21.914530
MeanHrv,179.4,2024-06-15T23:21:22.019280
InterBeatInterval,1133,2024-06-15T23:21:22.873248
MeanHrv,161.8,2024-06-15T23:21:22.976943
InterBeatInterval,1093,2024-06-15T23:21:23.830018
InterBeatInterval,1042,2024-06-15T23:21:24.788644
InterBeatInterval,1157,2024-06-15T23:21:25.754236
MeanHrv,149.1,2024-06-15T23:21:25.856991
InterBeatInterval,1206,2024-06-15T23:21:26.708631
InterBeatInterval,970,2024-06-15T23:21:27.674466
MeanHrv,140.3,2024-06-15T23:21:27.778183
