event,value,timestamp
InterBeatInterval,1134,2024-06-16T00:14:29.968153
MeanHrv,139,2024-06-16T00:14:30.125818
InterBeatInterval,1097,2024-06-16T00:14:31.407204
MeanHrv,136.5,2024-06-16T00:14:31.565752
InterBeatInterval,1153,2024-06-16T00:14:32.369104
MeanHrv,125.2,2024-06-16T00:14:32.527708
InterBeatInterval,1124,2024-06-16T00:14:33.328801
MeanHrv,112.9,2024-06-16T00:14:33.488374
InterBeatInterval,1069,2024-06-16T00:14:34.281847
InterBeatInterval,1072,2024-06-16T00:14:35.247395
MeanHrv,98.6,2024-06-16T00:14:35.404972
InterBeatInterval,834,2024-06-16T00:14:35.455837
MeanHrv,76.3,2024-06-16T00:14:35.616405
InterBeatInterval,843,2024-06-16T00:14:37.168684
MeanHrv,94.1,2024-06-16T00:14:37.333332
