timestamp,elapsed time,value,event
2024-06-16T01:08:08.088219,2.879865884780884,95.8,MeanHrv
2024-06-16T01:08:08.235392,3.0270397663116455,90.3,MeanHrv
2024-06-16T01:08:09.042680,3.834327220916748,91,MeanHrv
2024-06-16T01:08:12.401942,7.193589210510254,106.7,MeanHrv
2024-06-16T01:08:13.363685,8.155332088470459,107.3,MeanHrv
2024-06-16T01:08:15.284375,10.076022624969482,122.5,MeanHrv
2024-06-16T01:08:19.124452,13.916098833084106,145.7,MeanHrv
2024-06-16T01:08:21.047307,15.838954210281372,169,MeanHrv
2024-06-16T01:08:24.406735,19.19838237762451,191.1,MeanHrv
2024-06-16T01:08:27.288270,22.079917669296265,199.4,MeanHrv
2024-06-16T01:08:29.209812,24.0014591217041,208.9,MeanHrv
2024-06-16T01:08:33.047012,27.838659524917603,214.1,MeanHrv
2024-06-16T01:08:34.487028,29.278675317764282,224.1,MeanHrv
2024-06-16T01:08:36.410444,31.202090740203857,216.6,MeanHrv
2024-06-16T01:08:40.255100,35.04674744606018,212,MeanHrv
2024-06-16T01:08:41.211393,36.003039836883545,183.4,MeanHrv
2024-06-16T01:08:44.097267,38.888914346694946,145,MeanHrv
2024-06-16T01:08:45.048662,39.84030866622925,122.2,MeanHrv
2024-06-16T01:08:46.491038,41.28268504142761,110.6,MeanHrv
2024-06-16T01:08:48.410203,43.201849937438965,116.1,MeanHrv
2024-06-16T01:08:51.287790,46.079437494277954,113.6,MeanHrv
2024-06-16T01:08:53.208181,47.99982762336731,105.8,MeanHrv
2024-06-16T01:08:54.171234,48.962881088256836,97,MeanHrv
2024-06-16T01:08:56.088778,50.8804247379303,83.4,MeanHrv
2024-06-16T01:08:57.049956,51.84160327911377,79.3,MeanHrv
2024-06-16T01:09:04.252628,59.0442750453949,95.8,MeanHrv
2024-06-16T01:09:05.214107,60.00575399398804,105,MeanHrv
2024-06-16T01:09:07.135151,61.92679810523987,112.3,MeanHrv
2024-06-16T01:09:08.091988,62.88363528251648,115,MeanHrv
2024-06-16T01:09:10.493553,65.28520011901855,112.7,MeanHrv
2024-06-16T01:09:11.452476,66.2441234588623,110.1,MeanHrv
2024-06-16T01:09:14.333800,69.12544679641724,141.1,MeanHrv
