event,value,timestamp
InterBeatInterval,1118,2024-06-15T23:59:16.992616
MeanHrv,123.4,2024-06-15T23:59:17.125291
InterBeatInterval,1032,2024-06-15T23:59:17.953415
MeanHrv,121.9,2024-06-15T23:59:18.096066
InterBeatInterval,1058,2024-06-15T23:59:19.388633
MeanHrv,119.1,2024-06-15T23:59:19.530266
InterBeatInterval,1149,2024-06-15T23:59:20.349153
InterBeatInterval,1014,2024-06-15T23:59:21.313514
MeanHrv,126.3,2024-06-15T23:59:21.445162
InterBeatInterval,914,2024-06-15T23:59:22.267845
InterBeatInterval,991,2024-06-15T23:59:23.231465
MeanHrv,130.3,2024-06-15T23:59:23.363085
InterBeatInterval,1058,2024-06-15T23:59:24.666797
InterBeatInterval,1018,2024-06-15T23:59:25.153806
MeanHrv,120.2,2024-06-15T23:59:25.283460
InterBeatInterval,1213,2024-06-15T23:59:26.112809
MeanHrv,118.9,2024-06-15T23:59:26.243460
InterBeatInterval,1090,2024-06-15T23:59:27.073470
MeanHrv,127.7,2024-06-15T23:59:27.207198
InterBeatInterval,829,2024-06-15T23:59:28.036595
InterBeatInterval,871,2024-06-15T23:59:28.992997
MeanHrv,150.5,2024-06-15T23:59:29.124735
InterBeatInterval,1030,2024-06-15T23:59:29.948720
InterBeatInterval,1177,2024-06-15T23:59:31.388888
InterBeatInterval,1125,2024-06-15T23:59:32.352808
MeanHrv,176.9,2024-06-15T23:59:32.485454
InterBeatInterval,1125,2024-06-15T23:59:34.267559
InterBeatInterval,1191,2024-06-15T23:59:35.233805
MeanHrv,171.1,2024-06-15T23:59:35.365453
InterBeatInterval,1135,2024-06-15T23:59:36.193106
MeanHrv,166.7,2024-06-15T23:59:36.325752
InterBeatInterval,1125,2024-06-15T23:59:37.150787
InterBeatInterval,1092,2024-06-15T23:59:38.107482
InterBeatInterval,1119,2024-06-15T23:59:40.034777
MeanHrv,168,2024-06-15T23:59:40.165427
InterBeatInterval,1127,2024-06-15T23:59:40.214187
InterBeatInterval,1129,2024-06-15T23:59:40.987679
