event,value,timestamp
InterBeatInterval,1183,2024-06-15T23:58:49.990057
MeanHrv,95.7,2024-06-15T23:58:50.118714
InterBeatInterval,1186,2024-06-15T23:58:51.004676
InterBeatInterval,1056,2024-06-15T23:58:51.969735
MeanHrv,92.3,2024-06-15T23:58:52.097394
